,,,,,,,
Nomor,Perusahaan,Tahun,ROA,CR,DER,ROS,GPM
1,ADHI,2020,0.001,1.112,5.832,0.033,0.164
2,DGIK,2020,-0.012,1.470,0.713,-0.029,0.099
3,NRCA,2020,0.025,2.057,0.926,0.054,0.110
4,PTPP,2020,0.005,1.212,2.818,0.048,0.137
5,TOTL,2020,0.038,1.491,1.536,0.049,0.119
6,WIKA,2020,0.005,1.086,3.089,0.019,0.092
7,WSKT,2020,-0.090,0.675,5.369,-0.601,-0.122
8,JKON,2020,0.011,1.625,0.702,0.030,0.164
9,CSIS,2020,0.023,1.788,1.008,0.180,0.389
10,IDPR,2020,-0.253,1.000,0.966,-0.582,-0.354
11,TOPS,2020,-0.058,2.001,1.779,-0.393,0.022
12,WEGE,2020,0.026,1.486,1.771,0.056,0.075
13,PBSA,2020,0.061,3.228,0.310,0.096,0.169
14,SRKN,2020,0.006,1.411,1.750,0.045,0.253
15,SSIA,2020,-0.010,1.613,0.802,-0.034,0.216
16,TAMA,2020,-0.024,0.191,2.380,-0.124,0.436
