,,,,,,,
Nomor,Perusahaan,Tahun,ROA,CR,DER,ROS,GPM
1,ADHI,2019,0.018,1.238,4.343,0.077,0.150
1,ADHI,2020,0.001,1.112,5.832,0.033,0.164
2,DGIK,2019,0.001,1.426,0.915,0.005,0.136
2,DGIK,2020,-0.012,1.470,0.713,-0.029,0.099
3,NRCA,2019,0.041,1.936,1.017,0.064,0.105
3,NRCA,2020,0.025,2.057,0.926,0.054,0.110
4,PTPP,2019,0.020,1.368,2.415,0.050,0.118
4,PTPP,2020,0.005,1.212,2.818,0.048,0.137
5,TOTL,2019,0.059,1.423,1.751,0.072,0.146
5,TOTL,2020,0.038,1.491,1.536,0.049,0.119
6,WIKA,2019,0.042,1.395,2.232,0.102,0.128
6,WIKA,2020,0.005,1.086,3.089,0.019,0.092
7,WSKT,2019,0.008,1.089,3.210,0.042,0.179
7,WSKT,2020,-0.090,0.675,5.369,-0.601,-0.122
8,JKON,2019,0.041,1.358,0.827,0.047,0.150
8,JKON,2020,0.011,1.625,0.702,0.030,0.164
9,CSIS,2019,-0.020,0.282,1.289,-0.140,0.166
9,CSIS,2020,0.023,1.788,1.008,0.180,0.389
10,IDPR,2019,-0.002,2.175,0.649,0.000,0.170
10,IDPR,2020,-0.253,1.000,0.966,-0.582,-0.354
11,TOPS,2019,-0.070,2.482,1.327,-0.283,0.119
11,TOPS,2020,-0.058,2.001,1.779,-0.393,0.022
12,WEGE,2019,0.074,1.664,1.520,0.100,0.102
12,WEGE,2020,0.026,1.486,1.771,0.056,0.075
13,PBSA,2019,0.018,3.045,0.344,0.040,0.140
13,PBSA,2020,0.061,3.228,0.310,0.096,0.169
14,SRKN,2019,0.082,2.016,1.268,0.263,0.387
14,SRKN,2020,0.006,1.411,1.750,0.045,0.253
15,SSIA,2019,0.017,2.368,0.807,0.041,0.272
15,SSIA,2020,-0.010,1.613,0.802,-0.034,0.216
16,TAMA,2019,0.012,0.347,5.097,0.069,0.427
16,TAMA,2020,-0.024,0.191,2.380,-0.124,0.436
