Nomor;Perusahaan;Tahun;ROA;CR;DER;ROS;GPM
1;ADHI;2019;1,82%;123,77%;434,30%;7,73%;14,98%
;;2020;0,06%;111,16%;583,22%;3,29%;16,36%
2;DGIK;2019;0,09%;142,60%;91,50%;0,49%;13,63%
;;2020;-1,24%;147,04%;71,34%;-2,86%;9,87%
3;NRCA;2019;4,11%;193,63%;101,68%;6,40%;10,47%
;;2020;2,48%;205,69%;92,64%;5,43%;10,96%
4;PTPP;2019;2,04%;136,78%;241,48%;5,03%;11,75%
;;2020;0,50%;121,22%;281,76%;4,77%;13,73%
5;TOTL;2019;5,92%;142,26%;175,14%;7,20%;14,56%
;;2020;3,76%;149,09%;153,61%;4,90%;11,91%
6;WIKA;2019;4,22%;139,49%;223,23%;10,25%;12,79%
;;2020;0,47%;108,63%;308,88%;1,88%;9,22%
7;WSKT;2019;0,84%;108,92%;321,00%;4,23%;17,86%
;;2020;-8,99%;67,45%;536,94%;-60,09%;-12,22%
8;JKON;2019;4,10%;135,79%;82,67%;4,72%;14,98%
;;2020;1,14%;162,52%;70,15%;2,98%;16,36%
9;CSIS;2019;-1,96%;28,22%;128,93%;-14,00%;16,59%
;;2020;2,31%;178,79%;100,82%;18,04%;38,90%
10;IDPR;2019;-0,18%;217,52%;64,86%;-0,03%;17,03%
;;2020;-25,33%;100,00%;96,56%;-58,25%;-35,37%
11;TOPS;2019;-7,02%;248,23%;132,68%;-28,32%;11,88%
;;2020;-5,76%;200,07%;177,92%;-39,32%;2,19%
12;WEGE;2019;7,36%;166,36%;151,98%;10,00%;10,18%
;;2020;2,57%;148,63%;177,09%;5,56%;7,55%
13;PBSA;2019;1,84%;304,50%;34,41%;3,99%;13,96%
;;2020;6,14%;322,75%;31,01%;9,61%;16,90%
14;SRKN;2019;8,22%;201,61%;126,81%;26,29%;38,68%
;;2020;0,63%;141,14%;175,02%;4,46%;25,29%
15;SSIA;2019;1,68%;236,85%;80,71%;4,11%;27,24%
;;2020;-1,01%;161,28%;80,22%;-3,40%;21,55%
16;TAMA;2019;1,16%;34,72%;509,67%;6,90%;42,73%
;;2020;-2,40%;19,11%;237,96%;-12,36%;43,56%
